Ackas
Alajärvi
Alavieska
Alavo
Asikkala
Askola
Aura
Birkala
Björneborg
Borgnäs
Borgå
Brahestad
Brändö
Bötom
Eckerö
Enare
Enonkoski
Enontekis
Esbo
Etseri
Eura
Euraåminne
Evijärvi
Finström
Forssa
Fredrikshamn
Föglö
Geta
Grankulla
Gustav Adolfs
Gustavs
Haapajärvi
Haapavesi
Halso
Hammarland
Hangö
Hankasalmi
Harjavalta
Hattula
Hausjärvi
Heinola
Heinävesi
Helsingfors
Hirvensalmi
Hollola
Humppila
Hyrynsalmi
Hyvinge
Högfors
Idensalmi
Ijo
Ikalis
Ilmola
Ilomants
Imatra
Ingå
Itis
Jakobstad
Janakkala
Jockis
Joensuu
Jomala
Jorois
Joutsa
Juga
Juupajoki
Juva (Jockas *)
Jyväskylä
Jämijärvi
Jämsä
Kaavi
Kajana
Kalajoki
Kangasala
Kangasniemi
Kankaanpää
Kannonkoski
Kannus
Karleby
Karlö
Karstula
Karvia
Kaskö
Kauhajoki
Kauhava
Kaustby
Keitele
Kemi
Kemijärvi (Kemiträsk **)
Keminmaa
Kempele
Kervo
Keuru
Kides
Kihniö
Kimitoön
Kinnula
Kittilä
Kiuruvesi
Kivijärvi
Kolari
Konnevesi
Kontiolax
Korsholm
Korsnäs
Koskis
Kotka
Kouvola
Kristinestad
Kronoby
Kuhmo
Kuhmois
Kumlinge
Kumo
Kuopio
Kuortane
Kurikka
Kuusamo
Kyrkslätt
Kyyjärvi
Kärkölä
Kärsämäki
Kökar
Lahtis
Laihela
Lapinlahti (Lapinlax *)
Lappajärvi
Lappo
Lappträsk
Larsmo
Laukas
Lembois * (Lempälä *)
Lemi (Klemis **)
Lemland
Leppävirta
Lestijärvi
Letala
Libelits
Lieksa
Limingo
Loimaa
Lojo
Loppis *
Lovisa
Luhanka (Luhango *)
Lumijoki
Lumparland
Lundo
Luumäki
Malax
Mariehamn
Masku (Masko *)
Merijärvi
Miehikkälä
Muhos
Multia (Muldia **)
Muonio
Muurame
Mäntsälä
Mänttä-Vilppula (‐Filpula *)
Mäntyharju
Mörskom
Nakkila (Nackeby **)
Nivala
Nokia
Nousis
Nurmes
Nurmijärvi
Nykarleby
Nyslott
Nystad
Nådendal
Närpes
Orimattila
Oripää
Orivesi
Oulainen (Oulais *)
Outokumpu
Padasjoki
Paltamo (Paldamo *)
Pargas
Parikkala
Parkano
Pedersöre
Pelkosenniemi
Pello
Pemar
Perho
Pertunmaa
Petäjävesi
Pieksämäki
Pielavesi
Pihtipudas
Polvijärvi
Posio
Pudasjärvi
Pukkila (Buckila *)
Punkalaidun (Pungalaitio **)
Puolanka (Puolango *)
Puumala
Pyhäjoki
Pyhäjärvi
Pyhäntä
Pyhäranta
Pyttis
Påmark
Pälkäne
Pöytis *
Rantasalmi
Ranua
Raseborg
Raumo
Rautalampi
Rautavaara
Rautjärvi
Reisjärvi
Reso
Riihimäki
Ristijärvi
Rovaniemi
Ruokolax
Ruovesi
Rusko
Rääkkylä (Bräkylä **)
S:t Karins
S:t Michel
S:t Mårtens
Saarijärvi
Sagu
Salla
Salo
Saltvik
Sastamala
Sastmola
Savitaipale
Savukoski
Seinäjoki (Östermyra *)
Sibbo
Sievi
Siikais
Siikajoki
Siikalatva
Siilinjärvi
Simo
Sjundeå
Sodankylä
Soini
Somero
Sonkajärvi
Sotkamo
Sottunga
Storkyro
Storå
Sulkava
Sund
Suomussalmi
Suonenjoki
Sysmä
Säkylä
Taipalsaari
Taivalkoski
Tammela
Tammerfors
Tavastehus
Tavastkyro
Tervo
Tervola
Tohmajärvi
Toholampi
Toivakka
Torneå
Träskända
Tusby
Tuusniemi
Tyrnävä
Tövsala
Uleåborg
Ulvsby
Urdiala *
Utajärvi
Utsjoki
Uurainen (Urais *)
Vaala
Valkeakoski
Vanda
Varkaus
Vasa
Vederlax
Vemo
Vesanto
Vesilahti (Vesilax *)
Vetil
Vichtis
Vieremä
Viitasaari
Villmanstrand
Vindala
Virdois
Virmo
Vittis
Vårdö
Vörå
Ylivieska
Ylöjärvi
Ypäjä
Åbo
Äänekoski
Östermark
Övertorneå
Akaa
Alavus
Enontekiö
Espoo
Eurajoki
Hailuoto
Halsua
Hamina
Hanko
Hartola
Helsinki
Huittinen
Hyvinkää
